zona,enderecos_lista,latitude,longitude,area,quartos,aluguel
centro,"Cidade Nova, Rio de Janeiro, RJ",-22.91297,-43.20919,1200.0,,78000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,190.0,,4500
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,350.0,,8500
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,638.0,,47861
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,185.0,,6000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,148.0,,9620
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,149.0,,2500
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,155.0,,2800
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,500.0,,32500
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,500.0,6.0,5000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,210.0,,12500
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,195.0,,8000
centro,"Cidade Nova, Rio de Janeiro, RJ",-22.91297,-43.20919,250.0,,8300
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,375.0,,8800
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,400.0,,6000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,160.0,,10400
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,450.0,,28000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,345.0,,20000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,40.0,,1800
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,94.0,,3000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,90.0,,16000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,225.0,,16000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,300.0,,8000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,225.0,,16000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,484.0,,11000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,148.0,,3000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,423.0,,4500
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,258.0,,10000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,379.0,,8500
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,553.0,,15000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,414.0,,16000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,638.0,,38289
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,135.0,,3500
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,414.0,,16000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,1040.0,,40000
centro,"Rua Candelária, Centro, Rio de Janeiro, RJ",-22.90033,-43.17748,260.0,,12300
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,354.0,,20000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,219.0,,17000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,219.0,,17000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,212.0,,4000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,85.0,,2200
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,1000.0,,65000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,200.0,,2200
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,470.0,,21150
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,84.0,,2300
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,283.0,,14188
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,379.0,,8500
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,1299.0,,103929
centro,"Cidade Nova, Rio de Janeiro, RJ",-22.91297,-43.20919,1200.0,,78000
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,190.0,,4500
centro,"Centro, Rio de Janeiro, RJ",-22.91336,-43.16879,350.0,,8500
