zona,area_quartos,enderecos_lista,aluguel
centro,147 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",12.000
centro,142 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",2.000
centro,250 m² construídos,"Avenida Presidente Vargas 633, 633, Centro, Rio De Janeiro Centro, Rio De Janeiro",30.000
centro,135 m² construídos,"Avenida Rio Branco, 26, Centro, Rio De Janeiro Centro, Rio De Janeiro",3.600
centro,446 m² construídos,"Rua São José , 90, Centro, Rio De Janeiro Centro, Rio De Janeiro",13.000
centro,321 m² construídos,"Avenida Rio Branco, 108, Centro, Rio De Janeiro Centro, Rio De Janeiro",7.500
centro,320 m² construídos,"Rua Da Quitanda 20, 20, Centro, Rio De Janeiro Centro, Rio De Janeiro",5.000
centro,130 m² construídos,"Rua Da Assembléia, 10, Centro, Rio De Janeiro Centro, Rio De Janeiro",5.000
centro,160 m² construídos,"Rua Da Assembléia, 10, Centro, Rio De Janeiro Centro, Rio De Janeiro",3.000
centro,140 m² construídos,"Rua Buenos Aires, 57, Centro, Rio De Janeiro Centro, Rio De Janeiro",3.000
centro,680 m² construídos,"Rua Do Carmo, 71, Centro, Rio De Janeiro Centro, Rio De Janeiro",15.500
centro,169 m² construídos,"Rua São José, 90, Centro, Rio De Janeiro Centro, Rio De Janeiro",4.950
centro,111 m² construídos,"Rua São José, 90, Centro, Rio De Janeiro Centro, Rio De Janeiro",3.250
centro,132 m² construídos,"Rua São José, 90, Centro, Rio De Janeiro Centro, Rio De Janeiro",3.848
centro,34 m² construídos,"Da Quitanda 68, Centro, Rio De Janeiro Centro, Rio De Janeiro",600
centro,31 m² construídos,"Da Assembléia 93, Centro, Rio De Janeiro Centro, Rio De Janeiro",900
centro,551 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",17.000
centro,575 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",24.000
centro,350 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",7.000
centro,55 m² construídos,"Avenida Rio Branco, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.200
centro,75 m² construídos3 quartos,"Rua Afonso Cavalcanti, Cidade Nova, Rio De Janeiro Centro, Rio De Janeiro",2.000
centro,35 m² construídos,"Avenida Nossa Senhora De Fatima, Centro, Rio De Janeiro Centro, Rio De Janeiro",900
centro,42 m² construídos2 quartos,"Rua Marquês Pombal, Centro, Rio De Janeiro Centro, Rio De Janeiro",950
centro,90 m² construídos2 quartos,"Rua Do Resende, Centro, Rio De Janeiro Centro, Rio De Janeiro",2.450
centro,35 m² construídos1 quarto,"Rua Da Relação, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.780
centro,50 m² construídos1 quarto,"R. Do Senado, Centro, Rio De Janeiro Centro, Rio De Janeiro",1.208
centro,53 m² construídos1 quarto,"Rua Tenente Possolo, 1, Centro, Rio De Janeiro Centro, Rio De Janeiro",950
centro,35 m² construídos1 quarto,"Rua Evaristo Da Veiga, Centro, Rio De Janeiro Centro, Rio De Janeiro",680
centro,30 m² construídos1 quarto,"Rua Carlos Sampaio, Centro, Rio De Janeiro Centro, Rio De Janeiro",850
centro,35 m² construídos,"Centro, Rio De Janeiro Centro, Rio De Janeiro",1.000
centro,60 m² construídos2 quartos,"Rua Riachuelo, Centro, Rio De Janeiro Centro, Rio De Janeiro",2.500
